Name of Player,Position,Team,Games Played,At Bats,Runs,Hits,Doubles,Triples,HomeRuns,RBI,Walks,Strike Outs,Stolen Bases,Caught Stealing,Average,On Base Percentage,Slugging,On Base plus Slugging
Dansby Swanson,SS,ATL,60,237,49,65,15,0,10,35,22,71,5,0,0.274,0.345,0.464,0.809
Trevor Story,SS,COL,59,235,41,68,13,4,11,28,24,63,15,3,0.289,0.355,0.519,0.874
Trea Turner,SS,WSH,59,233,46,78,15,4,12,41,22,36,12,4,0.335,0.394,0.588,0.982
Starling Marte,CF,MIA,61,228,36,64,14,1,6,27,12,41,10,2,0.281,0.34,0.43,0.77
Marcell Ozuna,DH,ATL,60,228,38,77,14,0,18,56,38,60,0,0,0.338,0.431,0.636,1.067
Manny Machado,3B,SD,60,224,44,68,12,1,16,47,26,37,6,3,0.304,0.37,0.58,0.95
Fernando Tatis Jr.,SS,SD,59,224,50,62,11,2,17,45,27,61,11,3,0.277,0.366,0.571,0.937
Javier Baez,SS,CHC,59,222,27,45,9,1,8,24,7,75,3,0,0.203,0.238,0.36,0.599
Charlie Blackmon,RF,COL,59,221,31,67,12,1,6,42,19,44,2,1,0.303,0.356,0.448,0.804
Mookie Betts,RF,LAD,55,219,47,64,9,1,16,39,24,38,10,2,0.292,0.366,0.562,0.928
Nick Castellanos,RF,CIN,60,218,37,49,11,2,14,34,19,69,0,2,0.225,0.298,0.486,0.784
Christian Walker,1B,ARI,57,218,35,59,18,1,7,34,19,50,1,1,0.271,0.333,0.459,0.792
Keston Hiura,2B,MIL,59,217,30,46,4,0,13,32,16,85,3,2,0.212,0.297,0.41,0.707
Andrew McCutchen,LF,PHI,57,217,32,55,9,0,10,34,22,48,4,0,0.253,0.324,0.433,0.757
Didi Gregorius,SS,PHI,60,215,34,61,10,2,10,40,15,28,3,2,0.284,0.339,0.488,0.827
Trent Grisham,CF,SD,59,215,42,54,8,3,10,26,31,64,10,1,0.251,0.352,0.456,0.808
Freddie Freeman,1B,ATL,60,214,51,73,23,1,13,53,45,37,2,0,0.341,0.462,0.64,1.102
Cody Bellinger,CF,LAD,56,213,33,51,10,0,12,30,30,42,6,1,0.239,0.333,0.455,0.789
Corey Seager,SS,LAD,52,212,38,65,12,1,15,41,17,37,1,0,0.307,0.358,0.585,0.943
Adam Frazier,2B,PIT,58,209,22,48,7,0,7,23,17,35,1,3,0.23,0.297,0.364,0.661
Pete Alonso,1B,NYM,57,208,31,48,6,0,16,35,24,61,1,0,0.231,0.326,0.49,0.817
Tommy Edman,3B,STL,55,204,29,51,7,1,5,26,16,48,2,4,0.25,0.317,0.368,0.685
Eduardo Escobar,3B,ARI,54,203,22,43,7,3,4,20,15,41,1,0,0.212,0.27,0.335,0.605
Max Muncy,1B,LAD,58,203,36,39,4,0,12,27,39,60,1,0,0.192,0.331,0.389,0.72
David Peralta,LF,ARI,54,203,19,61,10,1,5,34,13,45,1,0,0.3,0.339,0.433,0.773
Anthony Rizzo,1B,CHC,58,203,26,45,6,0,11,24,28,38,3,1,0.222,0.342,0.414,0.755
Michael Conforto,RF,NYM,54,202,40,65,12,0,9,31,24,57,3,3,0.322,0.412,0.515,0.927
Brian Anderson,3B,MIA,59,200,27,51,7,1,11,38,22,66,0,0,0.255,0.345,0.465,0.81
Christian Yelich,LF,MIL,58,200,39,41,7,1,12,22,46,76,4,2,0.205,0.356,0.43,0.786
Nick Ahmed,SS,ARI,57,199,29,53,10,1,5,29,18,46,4,0,0.266,0.327,0.402,0.729
Wilmer Flores,DH,SF,55,198,30,53,11,1,12,32,13,36,1,0,0.268,0.315,0.515,0.83
Ian Happ,CF,CHC,57,198,27,51,11,1,12,28,30,63,1,3,0.258,0.361,0.505,0.866
Wil Myers,RF,SD,55,198,34,57,14,2,15,40,18,56,2,1,0.288,0.353,0.606,0.959
Eugenio Suarez,3B,CIN,57,198,29,40,8,0,15,38,30,67,2,0,0.202,0.312,0.47,0.781
AJ Pollock,LF,LAD,55,196,30,54,9,0,16,34,12,45,2,2,0.276,0.314,0.566,0.881
Josh Bell,1B,PIT,57,195,22,44,3,0,8,22,22,59,0,0,0.226,0.305,0.364,0.669
Corey Dickerson,LF,MIA,52,194,25,50,5,1,7,17,15,35,1,1,0.258,0.311,0.402,0.713
Evan Longoria,3B,SF,53,193,26,49,10,1,7,28,11,39,0,1,0.254,0.297,0.425,0.722
Jean Segura,2B,PHI,54,192,28,51,5,2,7,25,23,45,2,2,0.266,0.347,0.422,0.769
Mike Yastrzemski,CF,SF,54,192,39,57,14,4,10,35,30,55,2,1,0.297,0.4,0.568,0.968
Paul Goldschmidt,1B,STL,58,191,31,58,13,0,6,21,37,43,1,0,0.304,0.417,0.466,0.883
Kyle Schwarber,LF,CHC,59,191,30,36,6,0,11,24,30,66,1,0,0.188,0.308,0.393,0.701
Asdrubal Cabrera,1B,WSH,52,190,23,46,9,3,8,31,19,40,0,0,0.242,0.305,0.447,0.752
Kole Calhoun,RF,ARI,54,190,35,43,9,0,16,40,28,50,1,1,0.226,0.338,0.526,0.864
J.D. Davis,3B,NYM,56,190,26,47,9,0,6,19,31,56,0,0,0.247,0.371,0.389,0.761
Adam Duvall,LF,ATL,57,190,34,45,8,0,16,33,15,54,0,0,0.237,0.301,0.532,0.833
Bryce Harper,RF,PHI,58,190,41,51,9,2,13,33,49,43,8,2,0.268,0.42,0.542,0.962
Donovan Solano,2B,SF,54,190,22,62,15,1,3,29,10,39,0,0,0.326,0.365,0.463,0.828
Willson Contreras,C,CHC,57,189,37,46,10,0,7,26,20,57,1,2,0.243,0.356,0.407,0.763
Jesus Aguilar,1B,MIA,51,188,31,52,10,0,8,34,23,40,0,1,0.277,0.352,0.457,0.809
Austin Riley,3B,ATL,51,188,24,45,7,1,8,27,16,49,0,0,0.239,0.301,0.415,0.716
Brandon Nimmo,CF,NYM,55,186,33,52,8,3,8,18,33,43,1,2,0.28,0.404,0.484,0.888
Joey Votto,1B,CIN,54,186,32,42,8,0,11,22,37,43,0,0,0.226,0.354,0.446,0.8
Bryan Reynolds,LF,PIT,55,185,24,35,6,2,7,19,21,57,1,1,0.189,0.275,0.357,0.632
Chris Taylor,SS,LAD,56,185,30,50,10,2,8,32,26,55,3,2,0.27,0.366,0.476,0.842
Raimel Tapia,LF,COL,51,184,26,59,8,2,1,17,14,38,8,2,0.321,0.369,0.402,0.772
Jeff McNeil,LF,NYM,52,183,19,57,14,0,4,23,20,24,0,2,0.311,0.383,0.454,0.836
Nolan Arenado,3B,COL,48,182,23,46,9,0,8,26,15,20,0,0,0.253,0.303,0.434,0.738
Avisail Garcia,CF,MIL,53,181,20,43,10,0,2,15,20,49,1,3,0.238,0.333,0.326,0.659
Erik Gonzalez,SS,PIT,50,181,14,41,13,1,3,20,8,51,2,3,0.227,0.255,0.359,0.614
Ketel Marte,2B,ARI,45,181,19,52,14,1,2,17,7,21,1,0,0.287,0.323,0.409,0.732
Kolten Wong,2B,STL,53,181,26,48,4,2,1,16,20,30,5,2,0.265,0.35,0.326,0.676
Jurickson Profar,LF,SD,56,180,28,50,6,0,7,25,15,28,7,1,0.278,0.343,0.428,0.771
Colin Moran,DH,PIT,52,178,28,44,10,0,10,23,19,52,0,0,0.247,0.325,0.472,0.797
Dominic Smith,1B,NYM,50,177,27,56,21,1,10,42,14,45,0,0,0.316,0.377,0.616,0.993
Orlando Arcia,SS,MIL,59,173,22,45,10,1,5,20,14,32,2,0,0.26,0.317,0.416,0.734
J.T. Realmuto,C,PHI,47,173,33,46,6,0,11,32,16,48,4,1,0.266,0.349,0.491,0.84
Brandon Crawford,SS,SF,54,172,26,44,12,0,8,28,15,47,1,2,0.256,0.326,0.465,0.792
Jake Cronenworth,2B,SD,54,172,26,49,15,3,4,20,18,30,3,1,0.285,0.354,0.477,0.831
Ryan McMahon,2B,COL,52,172,23,37,6,1,9,26,18,66,0,1,0.215,0.295,0.419,0.714
Robinson Cano,2B,NYM,49,171,23,54,9,0,10,30,9,24,0,0,0.316,0.352,0.544,0.896
Victor Robles,CF,WSH,52,168,20,37,5,1,3,15,9,53,4,1,0.22,0.293,0.315,0.608
Garrett Hampson,2B,COL,53,167,25,39,4,3,5,11,13,60,6,1,0.234,0.287,0.383,0.67
Travisd'Arnaud,C,ATL,44,165,19,53,8,0,9,34,16,50,1,0,0.321,0.386,0.533,0.919
Ronald Acuna,CF,ATL,46,160,46,40,11,0,14,29,38,60,8,1,0.25,0.406,0.581,0.987
Alec Bohm,3B,PHI,44,160,24,54,11,0,4,23,16,36,1,1,0.338,0.4,0.481,0.881
Adam Eaton,RF,WSH,41,159,22,36,11,1,4,17,12,32,3,0,0.226,0.285,0.384,0.668
Mauricio Dubon,CF,SF,54,157,21,43,4,1,4,19,15,36,2,3,0.274,0.337,0.389,0.726
Gregory Polanco,RF,PIT,50,157,12,24,6,0,7,22,13,65,3,1,0.153,0.214,0.325,0.539
Kevin Newman,SS,PIT,44,156,12,35,5,0,1,10,12,21,0,1,0.224,0.281,0.276,0.556
Shogo Akiyama,LF,CIN,54,155,16,38,6,1,0,9,25,34,7,3,0.245,0.357,0.297,0.654
Juan Soto,LF,WSH,47,154,39,54,14,0,13,37,41,28,6,2,0.351,0.49,0.695,1.185
Paul DeJong,SS,STL,45,152,17,38,6,0,3,25,17,50,1,0,0.25,0.322,0.349,0.67
Alex Dickerson,LF,SF,52,151,28,45,10,1,10,27,16,30,0,0,0.298,0.371,0.576,0.947
Rhys Hoskins,1B,PHI,41,151,35,37,9,0,10,26,29,43,1,0,0.245,0.384,0.503,0.887
Justin Turner,3B,LAD,42,150,26,46,9,1,4,23,18,26,1,0,0.307,0.4,0.46,0.86
Brandon Belt,1B,SF,51,149,25,46,13,1,9,30,30,36,0,0,0.309,0.425,0.591,1.015
Jesse Winker,DH,CIN,54,149,27,38,7,0,12,23,28,46,1,0,0.255,0.388,0.544,0.932
Jason Heyward,RF,CHC,50,147,20,39,6,2,6,22,30,37,2,0,0.265,0.392,0.456,0.848
Yadier Molina,C,STL,42,145,12,38,2,0,4,16,6,21,0,0,0.262,0.303,0.359,0.662
Eric Hosmer,1B,SD,38,143,23,41,6,0,9,36,9,28,4,0,0.287,0.333,0.517,0.851
Amed Rosario,SS,NYM,46,143,20,36,3,1,4,15,4,34,0,1,0.252,0.272,0.371,0.643
Brad Miller,DH,STL,48,142,21,33,8,1,7,25,25,46,1,0,0.232,0.357,0.451,0.807
Wilson Ramos,C,NYM,45,142,13,34,6,0,5,15,10,31,0,0,0.239,0.297,0.387,0.684
Freddy Galvis,SS,CIN,47,141,18,31,5,0,7,16,13,30,1,1,0.22,0.308,0.404,0.712
Matt Carpenter,3B,STL,50,140,22,26,6,0,4,24,23,48,0,0,0.186,0.325,0.314,0.64
Enrique Hernandez,2B,LAD,48,139,20,32,8,1,5,20,6,31,0,1,0.23,0.27,0.41,0.68
Mike Moustakas,2B,CIN,44,139,13,32,9,0,8,27,18,36,1,0,0.23,0.331,0.468,0.799
Tyler O'Neill,LF,STL,50,139,20,24,5,0,7,19,15,43,3,1,0.173,0.261,0.36,0.621
Luis Garcia,2B,WSH,40,134,18,37,6,0,2,16,5,29,1,1,0.276,0.302,0.366,0.668
Kris Bryant,3B,CHC,34,131,20,27,5,1,4,11,12,40,0,0,0.206,0.293,0.351,0.644
Nick Markakis,RF,ATL,37,130,15,33,15,0,1,15,10,23,0,1,0.254,0.312,0.392,0.704
Ryan Braun,RF,MIL,39,129,14,30,7,1,8,26,7,27,1,0,0.233,0.281,0.488,0.769
Matt Joyce,RF,MIA,46,127,16,32,4,0,2,14,20,41,1,0,0.252,0.351,0.331,0.682
David Bote,3B,CHC,45,125,15,25,3,1,7,29,17,40,2,0,0.2,0.303,0.408,0.711
Miguel Rojas,SS,MIA,40,125,20,38,10,1,4,20,16,18,5,1,0.304,0.392,0.496,0.888
Jacob Stallings,C,PIT,42,125,13,31,7,0,3,18,15,40,0,0,0.248,0.326,0.376,0.702
Daniel Murphy,1B,COL,40,123,10,29,3,0,3,16,7,21,0,0,0.236,0.275,0.333,0.608
Eric Thames,1B,WSH,41,123,10,25,5,0,3,12,14,42,1,0,0.203,0.3,0.317,0.617
Carson Kelly,C,ARI,39,122,11,27,5,0,5,19,6,29,0,0,0.221,0.264,0.385,0.649
Joc Pederson,LF,LAD,43,121,21,23,4,0,7,16,11,34,1,0,0.19,0.285,0.397,0.681
Jon Berti,2B,MIA,39,120,21,31,5,0,2,14,23,37,9,2,0.258,0.388,0.35,0.738
Johan Camargo,2B,ATL,35,120,16,24,8,0,4,9,6,35,0,0,0.2,0.244,0.367,0.611
Garrett Cooper,DH,MIA,34,120,20,34,8,0,6,20,11,31,0,0,0.283,0.353,0.5,0.853
Justin Smoak,DH,SF,36,119,14,21,7,0,5,15,10,42,0,0,0.176,0.25,0.361,0.611
Ozzie Albies,2B,ATL,29,118,21,32,5,0,6,19,5,30,3,1,0.271,0.306,0.466,0.773
Andres Gimenez,SS,NYM,49,118,22,31,3,2,3,12,7,28,8,1,0.263,0.333,0.398,0.732
Jedd Gyorko,1B,MIL,42,117,19,29,3,0,9,17,15,38,0,0,0.248,0.333,0.504,0.838
Matt Kemp,DH,COL,43,117,18,28,3,0,6,21,15,41,1,0,0.239,0.326,0.419,0.745
Victor Caratini,DH,CHC,44,116,10,28,7,0,1,16,12,31,0,1,0.241,0.333,0.328,0.661
Ender Inciarte,CF,ATL,46,116,17,22,2,1,1,10,12,25,4,1,0.19,0.262,0.25,0.512
Jonathan Villar,SS,MIA,30,116,10,30,4,0,2,9,10,32,9,5,0.259,0.315,0.345,0.66
Eric Sogard,3B,MIL,43,115,10,24,5,0,1,10,11,20,0,0,0.209,0.281,0.278,0.56
Ben Gamel,RF,MIL,40,114,13,27,8,1,3,10,13,39,0,2,0.237,0.315,0.404,0.718
Jason Kipnis,2B,CHC,44,114,13,27,8,1,3,16,18,41,1,0,0.237,0.341,0.404,0.744
Will Smith,C,LAD,37,114,23,33,9,0,8,25,20,22,0,0,0.289,0.401,0.579,0.98
Scott Kingery,2B,PHI,36,113,12,18,5,0,3,6,9,35,0,0,0.159,0.228,0.283,0.511
Kurt Suzuki,C,WSH,33,111,15,30,8,0,2,17,11,19,1,0,0.27,0.349,0.396,0.745
Dylan Carlson,RF,STL,35,110,11,22,7,1,3,16,8,35,1,1,0.2,0.252,0.364,0.616
Yan Gomes,C,WSH,30,109,14,31,6,1,4,13,6,22,1,0,0.284,0.319,0.468,0.787
Tommy Pham,LF,SD,31,109,13,23,2,0,3,12,15,27,6,0,0.211,0.312,0.312,0.624
Cole Tucker,CF,PIT,37,109,17,24,3,0,1,8,5,31,1,0,0.22,0.252,0.275,0.527
Luis Urias,3B,MIL,41,109,11,26,4,1,0,11,10,32,2,2,0.239,0.308,0.294,0.602
Nico Hoerner,2B,CHC,48,108,19,24,4,0,0,13,12,24,3,2,0.222,0.312,0.259,0.571
Omar Narvaez,C,MIL,40,108,8,19,4,0,2,10,16,39,0,0,0.176,0.294,0.269,0.562
Roman Quinn,CF,PHI,41,108,14,23,3,1,2,7,5,39,12,0,0.213,0.261,0.315,0.576
Harrison Bader,CF,STL,50,106,21,24,7,2,4,11,13,40,3,1,0.226,0.336,0.443,0.779
Lewis Brinson,RF,MIA,47,106,14,24,6,0,3,12,6,30,4,0,0.226,0.268,0.368,0.636
Sam Hilliard,LF,COL,36,105,13,22,2,2,6,10,9,42,3,0,0.21,0.272,0.438,0.71
Joey Bart,C,SF,33,103,15,24,5,2,0,7,3,41,0,0,0.233,0.288,0.32,0.609
Daulton Varsho,CF,ARI,37,101,16,19,5,2,3,9,12,33,3,1,0.188,0.287,0.366,0.653
Tony Wolters,C,COL,42,100,10,23,4,0,0,8,6,30,0,0,0.23,0.28,0.27,0.55
Carter Kieboom,3B,WSH,33,99,15,20,1,0,0,9,17,33,0,1,0.202,0.344,0.212,0.556
Tucker Barnhart,C,CIN,38,98,10,20,3,0,5,13,12,28,0,0,0.204,0.291,0.388,0.679
Josh Fuentes,1B,COL,30,98,14,30,7,0,2,17,2,29,1,0,0.306,0.32,0.439,0.759
Jay Bruce,DH,PHI,32,96,11,19,4,2,6,14,7,24,0,0,0.198,0.252,0.469,0.721
Brock Holt,LF,WSH,36,95,12,20,6,0,0,5,9,24,1,0,0.211,0.283,0.274,0.557
Jorge Alfaro,C,MIA,31,93,12,21,2,0,3,16,4,36,2,0,0.226,0.28,0.344,0.624
David Dahl,CF,COL,24,93,9,17,2,2,0,9,4,28,1,0,0.183,0.222,0.247,0.47
Phil Gosselin,DH,PHI,39,92,14,23,5,0,3,12,10,27,0,0,0.25,0.324,0.402,0.726
Michael A.Taylor,LF,WSH,38,92,11,18,6,0,5,16,6,27,0,0,0.196,0.253,0.424,0.676
Howie Kendrick,DH,WSH,25,91,11,25,4,0,2,14,7,17,0,0,0.275,0.32,0.385,0.705
Kevin Pillar,CF,COL,24,91,14,28,5,1,2,13,5,18,4,1,0.308,0.351,0.451,0.801
Dexter Fowler,RF,STL,31,90,14,21,2,0,4,15,10,28,1,1,0.233,0.317,0.389,0.706
Darin Ruf,LF,SF,40,87,11,24,6,0,5,18,13,23,1,0,0.276,0.37,0.517,0.887
Austin Barnes,C,LAD,29,86,14,21,3,0,1,9,13,24,3,0,0.244,0.353,0.314,0.667
